choice_time,player_id,team_id,team_name,id,index,league,pick,round,was_auto
2023-08-07T01:00:22.557411Z,355,172408,NamsArmyOfChampions,2930071,1,46331,1,1,false
2023-08-07T01:01:26.859308Z,308,275105,CRG FC,2930072,2,46331,2,1,false
2023-08-07T01:01:34.764411Z,349,292200,EnzoMatic,2930073,3,46331,3,1,false
2023-08-07T01:01:52.224038Z,500,178032,Relegation,2930074,4,46331,4,1,false
2023-08-07T01:02:04.174583Z,396,178525,Stinkcopper FC,2930075,5,46331,5,1,false
2023-08-07T01:02:57.137254Z,373,245921,Chadvera FC,2930076,6,46331,6,1,false
2023-08-07T01:03:18.584892Z,19,274742,The Pecan Sandies,2930077,7,46331,7,1,false
2023-08-07T01:03:33.275865Z,60,273160,Winnie Wunderkind,2930078,8,46331,8,1,false
2023-08-07T01:04:31.719324Z,516,172479,Weebs United,2930079,9,46331,9,1,false
2023-08-07T01:05:59.177137Z,212,218922,I <3 White Rice FC,2930080,10,46331,10,1,false
2023-08-07T01:06:55.974143Z,14,218922,I <3 White Rice FC,2930081,11,46331,1,2,false
2023-08-07T01:07:04.060344Z,290,172479,Weebs United,2930082,12,46331,2,2,false
2023-08-07T01:07:16.684817Z,12,273160,Winnie Wunderkind,2930083,13,46331,3,2,false
2023-08-07T01:07:24.671115Z,297,274742,The Pecan Sandies,2930084,14,46331,4,2,false
2023-08-07T01:08:29.184366Z,8,245921,Chadvera FC,2930085,15,46331,5,2,false
2023-08-07T01:08:32.848163Z,415,178525,Stinkcopper FC,2930086,16,46331,6,2,false
2023-08-07T01:09:12.794463Z,353,178032,Relegation,2930087,17,46331,7,2,false
2023-08-07T01:09:23.494710Z,294,292200,EnzoMatic,2930088,18,46331,8,2,false
2023-08-07T01:10:50.841493Z,354,275105,CRG FC,2930089,19,46331,9,2,false
2023-08-07T01:12:05.557191Z,433,172408,NamsArmyOfChampions,2930090,20,46331,10,2,false
2023-08-07T01:13:00.058737Z,6,172408,NamsArmyOfChampions,2930091,21,46331,1,3,false
2023-08-07T01:13:09.877236Z,211,275105,CRG FC,2930092,22,46331,2,3,false
2023-08-07T01:13:25.178943Z,307,292200,EnzoMatic,2930093,23,46331,3,3,false
2023-08-07T01:13:45.733969Z,278,178032,Relegation,2930094,24,46331,4,3,false
2023-08-07T01:14:30.375713Z,303,178525,Stinkcopper FC,2930095,25,46331,5,3,false
2023-08-07T01:14:45.619937Z,504,245921,Chadvera FC,2930096,26,46331,6,3,false
2023-08-07T01:15:54.944192Z,209,274742,The Pecan Sandies,2930097,27,46331,7,3,false
