added,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,creativity,creativity_rank,creativity_rank_type,draft_rank,position_id,event_points,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,starts,status,club_id,threat,threat_rank,threat_rank_type,total_points,web_name,yellow_cards
2023-07-05T08:58:28.235357Z,0,0,0,0,0,0,232223,0.0,574,60,485,4,0,0.00,0.00,0.00,0.00,Folarin,0.0,0,0,0.0,587,58,1,false,0.0,582,56,0,Transferred to Monaco,2023-08-31T08:55:15.272751Z,0,0,0,0.0,0,0,Balogun,0,u,1,0.0,562,58,0,Balogun,0
2023-07-05T08:58:28.236214Z,0,0,0,,,0,58822,0.0,428,154,621,2,0,0.00,0.00,0.00,0.00,Cédric,0.0,0,0,0.0,451,157,2,false,0.0,446,158,0,"",,0,0,0,0.0,0,0,Alves Soares,0,a,1,0.0,402,142,0,Cédric,0
2023-07-05T08:58:28.236774Z,1,0,12,100,100,0,153256,0.5,407,202,464,3,4,0.00,0.00,0.00,0.00,Mohamed,1.3,0,0,0.4,433,201,3,false,1.8,431,201,1,"",2023-08-11T13:00:06.079379Z,0,0,0,4.0,0,0,Elneny,0,a,1,2.0,382,190,4,M.Elneny,0
2023-07-05T08:58:28.237340Z,3,0,67,100,100,1,438098,62.1,176,105,131,3,6,0.34,1.54,1.20,1.41,Fábio,2.0,2,1,21.7,197,97,4,false,79.0,230,90,202,"",2023-09-29T10:30:07.948136Z,0,0,0,3.7,0,0,Ferreira Vieira,2,a,1,77.0,130,79,22,Fábio Vieira,0
2023-07-05T08:58:28.237882Z,0,2,120,100,100,3,226597,11.8,352,124,172,2,0,0.05,0.25,0.20,6.11,Gabriel,3.0,5,0,14.6,260,85,5,false,108.2,172,66,564,"",2023-09-30T23:00:07.672676Z,0,0,0,3.1,0,0,dos Santos Magalhães,6,a,1,25.0,250,73,25,Gabriel,1
2023-07-05T08:58:28.238396Z,1,0,59,,,3,219847,114.0,84,63,22,3,3,0.58,2.44,1.86,4.87,Kai,2.7,4,1,30.7,115,65,6,false,91.2,207,83,563,"",,0,0,0,2.3,0,0,Havertz,6,a,1,101.0,95,57,23,Havertz,3
2023-07-05T08:58:28.238900Z,0,0,0,,,0,156074,0.0,560,220,448,2,0,0.00,0.00,0.00,0.00,Rob,0.0,0,0,0.0,574,220,7,false,0.0,569,221,0,"",,0,0,0,0.0,0,0,Holding,0,a,8,0.0,546,217,0,Holding,0
2023-07-05T08:58:28.239394Z,1,2,51,0,0,2,205651,58.7,186,29,15,4,0,0.30,2.01,1.71,4.22,Gabriel,1.0,4,1,26.9,152,27,8,false,67.8,253,30,362,Hamstring injury - Expected back 11 Nov,2023-10-24T23:30:07.618920Z,0,0,0,2.6,0,0,Fernando de Jesus,4,i,1,144.0,53,20,18,G.Jesus,2
2023-07-05T08:58:28.239861Z,0,0,34,100,100,1,85955,33.1,253,138,117,3,0,0.20,0.24,0.04,3.29,Jorge Luiz,1.3,4,0,7.2,338,153,9,false,33.8,319,139,213,"",2023-08-07T15:30:05.168632Z,0,0,0,1.3,0,0,Frello Filho,2,a,1,6.0,356,182,9,Jorginho,1
2023-07-05T08:58:28.240324Z,0,0,39,,,1,440854,6.4,365,132,444,2,6,0.05,0.37,0.32,0.82,Jakub,2.0,2,0,5.3,359,129,10,false,29.4,332,127,181,"",,0,0,0,2.7,0,0,Kiwior,2,a,1,16.0,291,93,8,Kiwior,0
2023-07-05T08:58:28.240796Z,0,0,0,0,0,0,479683,0.0,639,256,476,3,0,0.00,0.00,0.00,0.00,Marcus,0.0,0,0,0.0,646,258,11,false,0.0,641,255,0,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,0,0,0,0.0,0,0,Oliveira Alencar,0,u,1,0.0,630,253,0,Marquinhos,0
2023-07-05T08:58:28.241318Z,2,0,116,100,100,2,444145,175.6,44,34,10,3,3,1.10,2.09,0.99,4.50,Gabriel,3.7,6,1,49.8,49,31,12,false,124.2,153,61,543,"",2023-09-17T20:30:06.235303Z,0,0,0,3.4,0,0,Martinelli Silva,7,a,1,199.0,36,21,27,Martinelli,0
2023-07-05T08:58:28.241809Z,2,5,156,,,6,205533,77.6,139,15,125,4,17,0.30,3.29,2.99,4.51,Eddie,6.3,4,5,50.6,47,12,13,false,179.4,84,11,679,"",,0,0,0,4.7,0,0,Nketiah,8,a,1,257.0,23,11,47,Nketiah,2
2023-07-05T08:58:28.242284Z,2,6,161,,,4,184029,239.2,22,17,7,3,0,1.16,3.77,2.61,7.61,Martin,1.7,7,3,65.3,22,18,14,false,217.4,44,15,789,"",,0,0,0,5.3,0,0,Ødegaard,9,a,1,197.0,37,22,48,Ødegaard,1
2023-07-05T08:58:28.242767Z,0,0,58,0,0,1,167199,60.0,182,108,191,3,0,0.21,0.28,0.07,2.53,Thomas,0.3,2,0,13.1,282,128,15,false,55.8,273,110,250,Muscle injury - Expected back 11 Nov,2023-10-25T12:00:07.465521Z,0,0,0,1.8,0,0,Partey,3,i,1,15.0,302,153,7,Thomas,0
